dash_type,file,orgnr
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5943
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3625
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6834
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2114
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3476
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2148
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5950
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3690
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4011
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3278
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5489
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3989
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0068
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3435
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6909
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1819
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6842
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6073
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6081
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6552
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4979
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5026
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4466
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5695
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6925
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2098
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4870
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0043
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4235
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5687
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5380
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6545
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-7030
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5893
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5232
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5240
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4607
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5356
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0340
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0365
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4730
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4615
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5521
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4813
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6859
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4334
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3153
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4250
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6420
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3765
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2908
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3138
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2890
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3203
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3146
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3195
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4052
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6867
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5877
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5414
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6248
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4912
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6537
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4946
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-7022
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3567
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1082
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0050
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0035
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6693
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0829
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3120
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2973
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3880
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6719
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2007
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0845
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4342
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1199
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3252
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2064
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5810
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0225
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5646
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1710
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2957
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1215
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3054
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3997
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4904
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5315
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4888
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3096
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6271
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1850
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6735
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6743
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6750
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2841
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3211
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4078
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2320
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2429
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2312
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2437
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2353
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2452
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2288
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2304
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2296
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2478
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2346
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2247
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2262
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2254
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2395
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2460
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2445
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2411
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2361
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2403
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2270
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4920
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6347
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5174
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2163
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4524
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5091
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6875
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5588
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6883
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4169
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6404
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-7014
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5984
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5141
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3591
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6164
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-7055
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1173
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6412
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6230
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2916
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1108
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1124
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1975
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2726
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6032
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4144
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6933
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5786
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6206
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6776
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2072
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6370
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6255
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4060
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0076
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4359
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3831
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4805
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1090
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1074
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2635
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6784
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2585
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6008
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6016
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4227
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4631
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4573
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4789
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5901
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5448
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5869
